## p.12
SH@R@SHiyM	n	根
Q@D@SHiyM	n	聖

## p.33

MeLeK:	n	王
YeLeD	n	男の子
SSeePeR	n	本
SSeeMeL	n	象徴

M:L@KiyM	n	王たち
SS:P@RiyM	n	本(複数)

MaH/:B+eReT	n	ノート
MowLeDeT	n	祖国

## p.34

LowMeDeT	v	(彼女は)勉強します
M:DaB+eReT	v	(彼女は)話します
T+eeKeP	adv	すぐに
B+:EeeReK:	adv	およそ、約

P+eTaH/	n	人口
NeeTSaH/	n	永遠
ZeRaE	n	種
SSeLaE	n	岩

B+oQeR	n	朝
QoDeSH	n	聖
AoHeL	n	天幕

A@LeP	n	アレフ
D+@LeT	n	ダレット
M@VeT	n	死

## p.35

P+aH/aD	n	恐れ
B+aEaL	n	主人,夫
MiQ:LaH/aT	n	シャワー
YowDaEaT	v	(彼女は)知っている

QaYiTS	n	夏
B+aYiT	n	家
ZaYiT	n	オリーブ
EaYiN	n	目

SH@MaYiM	n	天,空
Y@DaYiM	n	両手

TTeLePowN	n	電話
AowTTowB+uwSS	n	バス

AiyN:P:LaTS:Y@H	n	インフレ

## p.36

AiyN:TTeN:SSiyBiy	a	集中的な
T+eyAaTT:RowN	n	劇場

## p.38

SH@LowM MaR 〜	*	(男の人に)こんにちは、〜さん。
SH@LowM G+:BeReT 〜	*	(女の人に)こんにちは、〜さん。
B+oQeR TTowB	*	お早ようございます。
B+oQeR AowR	*	(返事)お早ようございます。
EeReB TTowB	*	今晩は。
LaY:L@H TTowB	*	お休みなさい。
MaH SH+:LowM:K@	*	(男の人に)お元気ですか。
MaH SH+:LowMeeK:	*	(女の人に)お元気ですか。
SH:LowMiy TTowB	*	(返事,男女とも)私は元気です。
T+owD@H RaB+@H	*	大変ありがとうございます。
EaL LoA D+@B@R	*	どういたしまして。
SS:LiyH/@H	*	すみません;失礼ですが。
B+:BaQ+@SH@H	*	どうぞ;どういたしまして。
B+@RuwK: HaB+@A	*	よくいらっしゃいました。
L:H/aY+iyM	*	乾杯！
B+:TeeA@BowN	*	どうぞお召し上がり下さい。
MaZ+@L TTowB	*	おめでとう。
H/aG S@MeeAH/	*	お祭りおめでとう。
SHaB+aT SH@LowM	*	安息日に平安がありますように。
LiB:RiyAuwT	*	(病人やくしゃみをした人に)お大事に;体に気をつけて。
B+:HaTS:L@H/@H	*	ご成功を祈ります。
L:HiT:R@AowT	*	また会いましょう。

## p.43

T+aL:MiyD	nm	男子生徒
T+aL:MiyD@H	nf	女子生徒

A@B	nm	父
D+owD	nm	叔父
MowReH	nm	先生
SSuwSS	nm	雄馬

AeeM	nf	母
D+owD@H	nf	叔母
MowR@H	nf	(女の)先生
SSuwSS@H	nf	雌馬

## p.44

SSePeeR	nm	本
SH@LowM	nm	平安
D+iQ:D+owQ	nm	文法

K+iT+@H	nf	教室
SSaB:L@NuwT	nf	忍耐
MaH/a:SH@B@H	nf	思想

M:DiyN@H	nf	国家
AaHa:B@H	nf	愛
T+owD@H	nf	感謝

LaY:L@H	nm	夜
YowN@H	nm	(男の名)ヨナ

## p.45

MaH/:B+eReT	nf	ノート
MowLeDeT	nf	祖国
H/a:NuwT	nf	店
K+aP+iyT	nf	小さじ

M@VeT	nm	死
SHeeRuwT	nm	サービス

L@SHowN	nf	舌,言語
EaYiN	nf	眼
ReGeL	nf	足

AeReTS	nf	国
EiyR	nf	都市

YiS:R@AeeL	Nf	イスラエル
YaP+@N	Nf	日本
Y:RuwSH@LaYiM	Nf	エルサレム
TTowQ:Yow	Nf	東京

## p.46

MoSHeH	Nm	モーセ
MiR:Y@M	Nf	マリア

AaB:R@H@M	Nm	アブラハム
YiTS:H/@Q	Nm	イサク
YaEa:QoB	Nm	ヤコブ
D+@ViD	Nm	ダビデ
SH:LoMoH	Nm	ソロモン
S@R@H	Nf	サラ
RiB:Q@H	N	リベカ
R@H/eeL	N	ラケル
H/aN+@H	N	ハンナ,ハナ
SHowSHaN+@H	Nf	スザンナ

H/eyP@H	N	ハイファ
T+eeL-A@BiyB	N	テルアビブ
Y:RiyH/ow	N	エリコ
B+eyT-LeH/eM	N	ベツレヘム

## p.47

Aa:Niy	pron	私は
AaT+@H	pron	あなた(男)は
AaT+:	pron	あなた(女)は
HuwA	pron	彼は
HiyA	pron	彼女は

Aa:NaH/:Nuw	pron	私たちは
A@Nuw	pron	私たちは
AaT+eM	pron	あなたがた(男)は
AaT+eN	pron	あなたがた(女)は
HeeM	pron	彼らは
HeeN	pron	彼女らは

## p.48

K+eeN	adv	はい
LoA	adv	いいえ,〜でない
G+aM	conj	〜もまた

## p.49

HaAiM	q	(疑問文を導き)〜ですか

## p.50

#T+aL:MiyDiyM	nm	生徒(複数)
#T+aL:MiyDowT	nf	女生徒(複数)

## p.51
T+aL:MiyD	nm	生徒(男)
T+aL:MiyDiyM	nf	生徒(女)
T+aL:MiyD@H	nm+	生徒たち(男)
T+aL:MiyDowT	nf+	生徒たち(女)

SHiyR	nm	歌
SHiyRiyM	nm+	歌(複数)
SSuwSS	nm	馬
SSuwSSiyM	nm+	馬(複数)
B+@H/uwR	nm	男子青年
B+aH/uwRiyM	nm+	男子青年(複数)

## p.52

YeLeD	nm	男児,子供
Y:L@DiyM	nm+	男児,子供(複数)
SSeePeR	nm	本
SS:P@RiyM	nm+	本(複数)
B+eGeD	nm	服
B+:G@DiyM	nm+	服(複数)
MowReH	nm	先生
MowRiyM	nm+	先生(複数)
H/owLeH	nm	病人
H/owLiyM	nm+	病人(複数)

H/a:BeeR@H	nf	女友達
H/a:BeeRowT	nf+	女友達(複数)
MowR@H	nf	女子教員
MowRowT	nf+	女子教員(複数)
YaL:D+@H	nf	女の子
Y:L@DowT	nf+	女の子たち
T+:MuwN@H	nf	絵,写真
T+:MuwNowT	nf+	絵,写真(複数)

MaH/:B+eReT	nf	ノート
MaH/:B+@RowT	nf+	ノート(複数)
RaK+eBeT	nf	列車
RaK+@BowT	nf+	列車(複数)
TSaL+aH/aT	nf	皿
TSaL+@H/owT	nf+	皿(複数)

K+aP+iyT	nf	小さじ
K+aP+iY+owT	nf+	小さじ(複数)
M:KowNiyT	nf	自動車
M:KowNiY+owT	nf+	自動車(複数)

## p.53

Z:KuwT	nf	権利
Z:KuY+owT	nf+	権利(複数)
H/a:NuwT	nf	店
H/a:NuY+owT	nf+	店(複数)

